order_id,date,region,product_category,product_name,units_sold,unit_price,revenue,discount_pct,customer_segment,sales_rep
ORD001,2024-01-05,North,Electronics,Laptop Pro,12,75000,900000,5,Enterprise,Ravi
ORD002,2024-01-08,South,Electronics,Smartphone X,35,22000,770000,3,Consumer,Priya
ORD003,2024-01-10,West,Furniture,Office Chair,50,8500,425000,10,SMB,Amit
ORD004,2024-01-12,East,Electronics,Tablet Y,20,18000,360000,0,Consumer,Sneha
ORD005,2024-01-15,North,Software,CRM Suite,8,120000,960000,15,Enterprise,Ravi
ORD006,2024-01-20,South,Furniture,Standing Desk,30,15000,450000,5,SMB,Priya
ORD007,2024-02-01,West,Electronics,Laptop Pro,18,74000,1332000,5,Enterprise,Amit
ORD008,2024-02-05,East,Software,Analytics Tool,5,200000,1000000,10,Enterprise,Sneha
ORD009,2024-02-10,North,Electronics,Smartphone X,60,21500,1290000,3,Consumer,Ravi
ORD010,2024-02-14,South,Furniture,Office Chair,80,8000,640000,10,SMB,Priya
ORD011,2024-02-20,West,Software,CRM Suite,12,118000,1416000,15,Enterprise,Amit
ORD012,2024-03-01,East,Electronics,Laptop Pro,22,73000,1606000,5,Enterprise,Sneha
ORD013,2024-03-05,North,Electronics,Tablet Y,45,17500,787500,0,Consumer,Ravi
ORD014,2024-03-10,South,Software,Analytics Tool,8,195000,1560000,10,Enterprise,Priya
ORD015,2024-03-15,West,Furniture,Standing Desk,55,14500,797500,5,SMB,Amit
ORD016,2024-03-20,East,Electronics,Smartphone X,90,21000,1890000,3,Consumer,Sneha
ORD017,2024-04-02,North,Software,CRM Suite,15,115000,1725000,15,Enterprise,Ravi
ORD018,2024-04-07,South,Electronics,Laptop Pro,10,72000,720000,5,SMB,Priya
ORD019,2024-04-12,West,Electronics,Tablet Y,35,17000,595000,0,Consumer,Amit
ORD020,2024-04-18,East,Furniture,Office Chair,100,7800,780000,10,SMB,Sneha
ORD021,2024-05-01,North,Electronics,Smartphone X,75,20500,1537500,3,Consumer,Ravi
ORD022,2024-05-06,South,Software,Analytics Tool,10,190000,1900000,10,Enterprise,Priya
ORD023,2024-05-12,West,Furniture,Standing Desk,40,14000,560000,5,SMB,Amit
ORD024,2024-05-18,East,Electronics,Laptop Pro,28,71000,1988000,5,Enterprise,Sneha
ORD025,2024-06-01,North,Software,CRM Suite,20,112000,2240000,15,Enterprise,Ravi
ORD026,2024-06-08,South,Electronics,Tablet Y,55,16500,907500,0,Consumer,Priya
ORD027,2024-06-15,West,Electronics,Smartphone X,85,20000,1700000,3,Consumer,Amit
ORD028,2024-06-22,East,Furniture,Office Chair,120,7500,900000,10,SMB,Sneha
ORD029,2024-07-03,North,Electronics,Laptop Pro,35,70000,2450000,5,Enterprise,Ravi
ORD030,2024-07-10,South,Software,Analytics Tool,12,185000,2220000,10,Enterprise,Priya
ORD031,2024-07-18,West,Furniture,Standing Desk,65,13500,877500,5,SMB,Amit
ORD032,2024-07-25,East,Electronics,Smartphone X,100,19500,1950000,3,Consumer,Sneha
ORD033,2024-08-02,North,Software,CRM Suite,25,110000,2750000,15,Enterprise,Ravi
ORD034,2024-08-09,South,Electronics,Tablet Y,70,16000,1120000,0,Consumer,Priya
ORD035,2024-08-16,West,Electronics,Laptop Pro,42,69000,2898000,5,Enterprise,Amit
ORD036,2024-08-23,East,Furniture,Office Chair,150,7200,1080000,10,SMB,Sneha
ORD037,2024-09-06,North,Electronics,Smartphone X,110,19000,2090000,3,Consumer,Ravi
ORD038,2024-09-13,South,Software,Analytics Tool,15,180000,2700000,10,Enterprise,Priya
ORD039,2024-09-20,West,Software,CRM Suite,18,108000,1944000,15,Enterprise,Amit
ORD040,2024-09-27,East,Electronics,Laptop Pro,38,68000,2584000,5,Enterprise,Sneha
ORD041,2024-10-04,North,Furniture,Standing Desk,80,13000,1040000,5,SMB,Ravi
ORD042,2024-10-11,South,Electronics,Tablet Y,85,15500,1317500,0,Consumer,Priya
ORD043,2024-10-18,West,Electronics,Smartphone X,120,18500,2220000,3,Consumer,Amit
ORD044,2024-10-25,East,Software,Analytics Tool,20,175000,3500000,10,Enterprise,Sneha
ORD045,2024-11-01,North,Electronics,Laptop Pro,50,67000,3350000,5,Enterprise,Ravi
ORD046,2024-11-08,South,Software,CRM Suite,30,105000,3150000,15,Enterprise,Priya
ORD047,2024-11-15,West,Furniture,Office Chair,200,7000,1400000,10,SMB,Amit
ORD048,2024-11-22,East,Electronics,Smartphone X,140,18000,2520000,3,Consumer,Sneha
ORD049,2024-12-06,North,Electronics,Tablet Y,100,15000,1500000,0,Consumer,Ravi
ORD050,2024-12-13,South,Software,Analytics Tool,25,170000,4250000,10,Enterprise,Priya
ORD051,2024-12-20,West,Electronics,Laptop Pro,60,66000,3960000,5,Enterprise,Amit
ORD052,2024-12-27,East,Software,CRM Suite,35,102000,3570000,15,Enterprise,Sneha
